sample	sample_alternative_name	adapter	include_downstream
ESL0094	NA	IU	1
ESL0199	NA	IU	0
ESL0352	NA	IU	1
ESL0685	NA	NT	0
ESL0736	NA	NT	1
ESL0750	NA	NT	1
ESL0755	NA	NT	1
ESL1164	NA	NT	1
ESL1165	NA	NT	1
ESL1171	NA	NT	1
ESL1174	NA	NT	1
ESL1178	NA	NT	1
ESL1180	NA	NT	1
ESL1182	NA	NT	1
ESL1184	NA	NT	1
ESL1215	NA	NT	1
ESL1221	NA	NT	1
ESL1222	NA	NT	1
ESL1291	NA	NT	1
ESL1293	NA	NT	1
ESL1294	NA	NT	0
ESL1295	NA	NT	1
ESL1297	NA	IU	1
ESL1302	NA	NT	1
ESL1303	NA	NT	1
ESL1304	NA	NT	1
ESL1305	NA	NT	1
ESL1306	NA	NT	1
ESL1307	NA	NT	1
ESL1308	colony-1	NT	1
ESL1309	colony-2	NT	1
ESL1310	colony-14	NT	1
ESL1311	colony-23	NT	1
ESL1312	colony-28	NT	1
ESL1313	colony-29	NT	1
ESL1314	colony-35	NT	1
ESL1315	colony-46	NT	1
ESL1316	colony-47	NT	1
